unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1649203200000,2022-04-06 00:00:00,BTC/JPY,5625099.99999941,5626699.99999966,5497600.00000042,5576800.00000034,157330399.07153758,28.21159071
1649199600000,2022-04-05 23:00:00,BTC/JPY,5665406.39931598,5671199.9999998,5608799.99999957,5626169.15813115,46350800.88994578,8.23843002
1649196000000,2022-04-05 22:00:00,BTC/JPY,5680855.76721604,5689600.00000007,5659500.00000049,5659500.00000049,22573366.019821957,3.9885795600000002
1649192400000,2022-04-05 21:00:00,BTC/JPY,5666699.99999998,5678799.99999944,5654906.18541003,5678799.99999944,19764240.371514052,3.48035507
1649188800000,2022-04-05 20:00:00,BTC/JPY,5690499.99999954,5697300.00000047,5643399.99999997,5662999.99999959,26775574.15735806,4.72816072
1649185200000,2022-04-05 19:00:00,BTC/JPY,5672900.00000029,5694299.9999994,5623000.00000024,5690400.00000045,43878602.98548347,7.71098745
1649181600000,2022-04-05 18:00:00,BTC/JPY,5682900.0000004,5685601.78127998,5670699.9999998,5673199.9999997,26590262.416742593,4.68699542
1649178000000,2022-04-05 17:00:00,BTC/JPY,5673499.99999947,5709700.00000017,5670561.720634,5683099.99999946,33744635.73185079,5.93771634
1649174400000,2022-04-05 16:00:00,BTC/JPY,5652899.99999949,5686499.99999947,5628199.99999974,5673279.75536,50650310.25662802,8.927871080000001
1649170800000,2022-04-05 15:00:00,BTC/JPY,5649599.99999957,5660309.08139302,5634600.0000002,5651600.00000002,30655154.058904108,5.42415494
1649167200000,2022-04-05 14:00:00,BTC/JPY,5699241.87274002,5706999.99999985,5643899.99999963,5648300.00000053,162301646.99776423,28.73460103
1649163600000,2022-04-05 13:00:00,BTC/JPY,5744000.00000046,5752899.99999956,5690359.87685601,5700199.99999995,66149817.42278741,11.60482394
1649160000000,2022-04-05 12:00:00,BTC/JPY,5740400.00000019,5797999.99999956,5737400.00000008,5743700.00000001,73087295.73888913,12.72477597
1649156400000,2022-04-05 11:00:00,BTC/JPY,5734400.00000032,5746399.99999998,5724000.00000037,5740400.00000019,29582943.48271298,5.15346378
1649152800000,2022-04-05 10:00:00,BTC/JPY,5721200.0000002,5737999.99999984,5713700.00000056,5736100.00000016,16956323.968229473,2.95607189
1649149200000,2022-04-05 09:00:00,BTC/JPY,5729800.00000021,5736299.99999991,5716600.00000027,5718599.99999939,15427607.113024356,2.69779441
1649145600000,2022-04-05 08:00:00,BTC/JPY,5742999.99999962,5744600.00000056,5722899.9999994,5731899.99999992,37508097.12420948,6.5437459
1649142000000,2022-04-05 07:00:00,BTC/JPY,5715613.34031016,5743699.99999976,5714299.99999953,5742699.99999999,43457361.90395292,7.56740939
1649138400000,2022-04-05 06:00:00,BTC/JPY,5720900.00000013,5732306.10340798,5710600.00000059,5713099.99999978,31382979.82302879,5.4931613
1649134800000,2022-04-05 05:00:00,BTC/JPY,5737799.99999981,5741799.99999964,5720600.00000035,5722499.99999974,8320232.4801746225,1.45395063
1649131200000,2022-04-05 04:00:00,BTC/JPY,5718099.99999941,5746600.00000025,5715300.00000059,5735400.0000005,37066659.211101234,6.46278537
1649127600000,2022-04-05 03:00:00,BTC/JPY,5718700.00000033,5732900.00000003,5709200.00000006,5717899.99999949,37469661.43750166,6.5530459500000005
1649124000000,2022-04-05 02:00:00,BTC/JPY,5718600.00000036,5728199.99999981,5706100.00000034,5718599.9999995,16241952.394150581,2.84019732
1649120400000,2022-04-05 01:00:00,BTC/JPY,5702199.99999995,5725200.00000035,5694500.00000011,5717700.00000016,33515137.45094494,5.86164672
1649116800000,2022-04-05 00:00:00,BTC/JPY,5720499.99999958,5726500.00000005,5699100.00000019,5702199.99999995,133225798.85192081,23.36392951
1649113200000,2022-04-04 23:00:00,BTC/JPY,5737399.99999985,5757199.99999999,5717600.00000028,5722799.99999966,77833432.18732338,13.60058576
1649109600000,2022-04-04 22:00:00,BTC/JPY,5711300.00000017,5750600.0,5696300.00000037,5738377.08949997,54837175.260495864,9.55621675
1649106000000,2022-04-04 21:00:00,BTC/JPY,5685399.99999948,5724400.00000053,5673199.99999959,5707500.00000057,80544827.58713305,14.11210295
1649102400000,2022-04-04 20:00:00,BTC/JPY,5641099.99999986,5692600.00000012,5613600.00000003,5682399.99999982,61800504.71235805,10.87577515
1649098800000,2022-04-04 19:00:00,BTC/JPY,5589799.99999947,5641371.94758664,5589799.99999947,5640999.99999976,46872092.333808005,8.30918141
1649095200000,2022-04-04 18:00:00,BTC/JPY,5568600.00000023,5590800.0000005,5540606.648187,5588900.00000051,40586299.10931071,7.26194763
1649091600000,2022-04-04 17:00:00,BTC/JPY,5609400.00000043,5615299.99999967,5550800.00000022,5571800.00000052,30878450.354702882,5.5419165
1649088000000,2022-04-04 16:00:00,BTC/JPY,5599800.00000019,5623799.99999991,5594899.99999991,5609599.99999948,24265347.822749753,4.32568237
1649084400000,2022-04-04 15:00:00,BTC/JPY,5629699.99999961,5635200.00000046,5590600.00000026,5598700.00000038,31748081.102435153,5.67061659
1649080800000,2022-04-04 14:00:00,BTC/JPY,5666600.00000028,5692299.99999996,5630164.47528001,5630164.47528001,41680452.45807203,7.40306125
1649077200000,2022-04-04 13:00:00,BTC/JPY,5645199.99999952,5673200.00000051,5631284.9997842,5666198.12477107,25309061.655947093,4.46667432
1649073600000,2022-04-04 12:00:00,BTC/JPY,5668399.99999944,5677499.9999996,5632900.00000023,5638900.00000025,29284315.090749297,5.19326732
1649070000000,2022-04-04 11:00:00,BTC/JPY,5641600.00000005,5670906.58450289,5639800.00000007,5668399.99999944,24523943.12423358,4.32643129
1649066400000,2022-04-04 10:00:00,BTC/JPY,5627100.00000023,5652199.99999994,5618000.00000015,5642700.00000037,36093391.006031364,6.39647527
1649062800000,2022-04-04 09:00:00,BTC/JPY,5659665.641934,5659665.641934,5624200.00000024,5627799.99999981,32810443.859014895,5.83006572
1649059200000,2022-04-04 08:00:00,BTC/JPY,5662399.99999951,5670252.96649601,5634099.99999969,5661000.00000001,56045296.7951401,9.90024674
1649055600000,2022-04-04 07:00:00,BTC/JPY,5664999.99999951,5665999.99999958,5646840.67865498,5664999.99999987,39425616.78549909,6.9595087
1649052000000,2022-04-04 06:00:00,BTC/JPY,5668999.99999955,5675399.99999947,5664999.99999951,5664999.99999951,12015369.09154896,2.12098307
1649048400000,2022-04-04 05:00:00,BTC/JPY,5644099.99999965,5670020.27375997,5641599.99999994,5668899.99999959,11064980.786159199,1.9518744
1649044800000,2022-04-04 04:00:00,BTC/JPY,5643700.00000002,5657200.00000035,5623599.99999967,5645599.99999948,21718370.615854003,3.84695526
1649041200000,2022-04-04 03:00:00,BTC/JPY,5646899.99999946,5661399.99999953,5642699.99999997,5643999.99999992,15488218.293439781,2.74419176
1649037600000,2022-04-04 02:00:00,BTC/JPY,5618999.99999963,5649999.99999955,5609041.24025598,5647999.99999971,36700139.99071812,6.4979001400000005
