https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume XVG
1585129920000,2020-03-25 09:52:00,XVG/EUR,0.00203034,0.00203034,0.00203034,0.00203034,10.08564575900076,4967.466414
1585093860000,2020-03-24 23:51:00,XVG/EUR,0.0021872,0.0021872,0.0021872,0.0021872,5.383022657330928,2461.14788649
1585092780000,2020-03-24 23:33:00,XVG/EUR,0.00231419,0.00231419,0.00231419,0.00231419,16.02169512758072,6923.24101633
1585090500000,2020-03-24 22:55:00,XVG/EUR,0.00231419,0.00231419,0.00231419,0.00231419,4.705786610234236,2033.44868409
1585084080000,2020-03-24 21:08:00,XVG/EUR,0.0020487,0.0020487,0.0020487,0.0020487,4.722722280788742,2305.22881866
1585080300000,2020-03-24 20:05:00,XVG/EUR,0.00204865,0.00204865,0.00204865,0.00204865,27.75736370551475,13549.09999537
1584992700000,2020-03-23 19:45:00,XVG/EUR,0.00208009,0.00208009,0.00208009,0.00208009,16.000863339353195,7692.38991551
1584968760000,2020-03-23 13:06:00,XVG/EUR,0.00225276,0.00225276,0.00225276,0.00225276,32.084142890183344,14242.14869324
1584936720000,2020-03-23 04:12:00,XVG/EUR,0.0020082,0.0020082,0.0020082,0.0020082,53.0351669277793,26409.305312110002
1584874260000,2020-03-22 10:51:00,XVG/EUR,0.00216815,0.00216815,0.00216815,0.00216815,10.041130219652166,4631.19720483
1584874140000,2020-03-22 10:49:00,XVG/EUR,0.002159,0.00228267,0.00210182,0.00227707,877.5249516413288,385374.60492709
1584871140000,2020-03-22 09:59:00,XVG/EUR,0.00215899,0.00215899,0.00215899,0.00215899,17.120781898596597,7929.99592337
1584869100000,2020-03-22 09:25:00,XVG/EUR,0.00230229,0.00230229,0.00230229,0.00230229,55.575919157776376,24139.40865737
1584847980000,2020-03-22 03:33:00,XVG/EUR,0.0024358,0.0024358,0.0024358,0.0024358,10.71752,4400.0
1584738480000,2020-03-20 21:08:00,XVG/EUR,0.0020273,0.0020273,0.0020273,0.0020273,19.8736219,9803.0
1584713640000,2020-03-20 14:14:00,XVG/EUR,0.0022956,0.0022956,0.0022956,0.0022956,51.26276593976521,22330.87904677
1584713580000,2020-03-20 14:13:00,XVG/EUR,0.0023013,0.0023013,0.0023013,0.0023013,50.80125276084075,22075.02401288
1584713460000,2020-03-20 14:11:00,XVG/EUR,0.0023038,0.0023038,0.0023038,0.0023038,52.06700505004037,22600.48834536
1584699540000,2020-03-20 10:19:00,XVG/EUR,0.0025353,0.00253552,0.0025353,0.00253552,221.10422145317108,87202.71244288
1584694800000,2020-03-20 09:00:00,XVG/EUR,0.00205914,0.00205914,0.00205914,0.00205914,8.16361449910479,3964.5747735
1584626460000,2020-03-19 14:01:00,XVG/EUR,0.001799,0.001799,0.001799,0.001799,8.20996587030522,4563.62749878
1584569160000,2020-03-18 22:06:00,XVG/EUR,0.00192427,0.00192427,0.00192427,0.00192427,19.80316691046806,10291.26209444
1584550080000,2020-03-18 16:48:00,XVG/EUR,0.001991,0.001991,0.001991,0.001991,17.763756290588002,8922.027268
1584529800000,2020-03-18 11:10:00,XVG/EUR,0.0018716,0.0018716,0.0018716,0.0018716,52.825114601611325,28224.57501689
1584457200000,2020-03-17 15:00:00,XVG/EUR,0.0019565,0.0019565,0.0019565,0.0019565,2.743013,1402.0
1584365400000,2020-03-16 13:30:00,XVG/EUR,0.00157146,0.00157146,0.00157146,0.00157146,188.4339669462711,119910.12621783
1584353160000,2020-03-16 10:06:00,XVG/EUR,0.00159747,0.00159747,0.00159747,0.00159747,101.61388485806725,63609.26017895
1584352200000,2020-03-16 09:50:00,XVG/EUR,0.0020841,0.0020841,0.0020841,0.0020841,15.51066283913984,7442.37936718
1584352140000,2020-03-16 09:49:00,XVG/EUR,0.0017004,0.0017004,0.0017004,0.0017004,55.4885439730532,32632.64171551
1584326940000,2020-03-16 02:49:00,XVG/EUR,0.002121,0.002121,0.002121,0.002121,14.285877220314,6735.444234
1584326760000,2020-03-16 02:46:00,XVG/EUR,0.002038,0.002121,0.002038,0.002121,100.48973093435724,47378.46814444
1584303540000,2020-03-15 20:19:00,XVG/EUR,0.001858,0.001858,0.001858,0.001858,3.712284,1998.0
1584278100000,2020-03-15 13:15:00,XVG/EUR,0.00186514,0.00186514,0.00186514,0.00186514,42.669297388724914,22877.26250508
1584216060000,2020-03-14 20:01:00,XVG/EUR,0.001779,0.001779,0.001779,0.001779,3.550884,1996.0
1584205080000,2020-03-14 16:58:00,XVG/EUR,0.0017449,0.0017449,0.0017449,0.0017449,35.09611208860191,20113.53778933
1584179100000,2020-03-14 09:45:00,XVG/EUR,0.00171591,0.00171591,0.00171591,0.00171591,2.7059701468092174,1576.98838914
