https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume XVG
1583223660000,2020-03-03 08:21:00,XVG/JPY,0.41991955,0.41991955,0.41991955,0.41991955,768.4527764999999,1830.0
1582994760000,2020-02-29 16:46:00,XVG/JPY,0.40188346,0.40188346,0.39786895,0.39786895,3883.97516295776,9761.945894389999
1582943820000,2020-02-29 02:37:00,XVG/JPY,0.43248153,0.43248153,0.43248153,0.43248153,3.4563923877600002,7.992
1582905720000,2020-02-28 16:02:00,XVG/JPY,0.42717008,0.42717008,0.42717008,0.42717008,616.3090609908357,1442.772071
1582903860000,2020-02-28 15:31:00,XVG/JPY,0.42824038,0.42824038,0.42824038,0.42824038,9814.3367776812,22917.82194309
1582762740000,2020-02-27 00:19:00,XVG/JPY,0.43569974,0.43569974,0.43569974,0.43569974,9850.683841899618,22608.88161627
1582762680000,2020-02-27 00:18:00,XVG/JPY,0.44174978,0.44174978,0.44174978,0.44174978,10155.277168926601,22988.75433266
1582759440000,2020-02-26 23:24:00,XVG/JPY,0.39749989,0.39749989,0.39749989,0.39749989,4659.622410828635,11722.3237743
1582733040000,2020-02-26 16:04:00,XVG/JPY,0.45478982,0.45478982,0.45478982,0.45478982,6801.095924640083,14954.37150427
1582725360000,2020-02-26 13:56:00,XVG/JPY,0.43627945,0.43627945,0.43627945,0.43627945,872.5589,2000.0
1582717140000,2020-02-26 11:39:00,XVG/JPY,0.45745055,0.49718922,0.45745055,0.49718922,21443.10874161848,43128.66787743
1582596900000,2020-02-25 02:15:00,XVG/JPY,0.43511022,0.43511022,0.43511022,0.43511022,2550.942870209795,5862.75098344
1582567380000,2020-02-24 18:03:00,XVG/JPY,0.46356958,0.46356958,0.46356958,0.46356958,4047.9073836449747,8732.0384216
1582477200000,2020-02-23 17:00:00,XVG/JPY,0.49337492,0.49337492,0.49337492,0.49337492,4497.953076873702,9116.70393962
1582472520000,2020-02-23 15:42:00,XVG/JPY,0.54462043,0.54462043,0.5354184,0.53541951,28990.44351561655,54145.28789886
1582208220000,2020-02-20 14:17:00,XVG/JPY,0.48037394,0.48037394,0.48037394,0.48037394,2346.8871670831677,4885.5422238
1582207560000,2020-02-20 14:06:00,XVG/JPY,0.52359952,0.52359952,0.52359952,0.52359952,809.7527460480945,1546.51162791
1582203480000,2020-02-20 12:58:00,XVG/JPY,0.52121,0.52121,0.52121,0.52121,1083.7008573138876,2079.20196718
1582148820000,2020-02-19 21:47:00,XVG/JPY,0.50206965,0.50206965,0.50206965,0.50206965,4616.723913161199,9195.38536767
1582108200000,2020-02-19 10:30:00,XVG/JPY,0.5074877,0.5074877,0.50726715,0.50726715,2250.245511822211,4436.01662718
1581984360000,2020-02-18 00:06:00,XVG/JPY,0.54916993,0.54916993,0.54916993,0.54916993,19229.700222919946,35015.93800469
1581983160000,2020-02-17 23:46:00,XVG/JPY,0.55728951,0.55728951,0.5491446,0.5491446,15782.718726850977,28740.55162675
1581960000000,2020-02-17 17:20:00,XVG/JPY,0.48363075,0.48363075,0.47842073,0.47842073,3470.111873737188,7253.26403339
1581875760000,2020-02-16 17:56:00,XVG/JPY,0.55228987,0.57640558,0.55228987,0.57640558,15393.783389329426,26706.513474990003
1581868740000,2020-02-16 15:59:00,XVG/JPY,0.54895769,0.54895769,0.54895769,0.54895769,1259.4465004895208,2294.2505833
1581804540000,2020-02-15 22:09:00,XVG/JPY,0.60530052,0.61644985,0.60530052,0.61644985,22359.327898343312,36271.12229542
1581804480000,2020-02-15 22:08:00,XVG/JPY,0.59306974,0.59306974,0.59306974,0.59306974,7160.135409358221,12073.00748367
1581790320000,2020-02-15 18:12:00,XVG/JPY,0.55964041,0.55964041,0.55964041,0.55964041,6472.997262418491,11566.35072585
1581790260000,2020-02-15 18:11:00,XVG/JPY,0.55983804,0.55983804,0.55983804,0.55983804,783.7732560000001,1400.0
1581784260000,2020-02-15 16:31:00,XVG/JPY,0.56761018,0.56761018,0.56761018,0.56761018,2537.139657368986,4469.86285089
1581783300000,2020-02-15 16:15:00,XVG/JPY,0.60385346,0.60385346,0.60385346,0.60385346,6629.103283879999,10978.0
1581783180000,2020-02-15 16:13:00,XVG/JPY,0.60619952,0.60619952,0.60619952,0.60619952,967.9117066251737,1596.68834219
1581715620000,2020-02-14 21:27:00,XVG/JPY,0.65862879,0.65862879,0.65862879,0.65862879,3270.1736472668035,4965.12405306
1581706560000,2020-02-14 18:56:00,XVG/JPY,0.59286946,0.59286946,0.59286946,0.59286946,49.61861875629535,83.69231695
1581679020000,2020-02-14 11:17:00,XVG/JPY,0.59287461,0.59287461,0.59287461,0.59287461,3542.608376806193,5975.30796066
1581665700000,2020-02-14 07:35:00,XVG/JPY,0.56194974,0.56194974,0.55173974,0.55173974,6804.641075956186,12333.063186559999
